"Age","Overall","Potential","Value","Wage","Special","Preferred.Foot","International.Reputation","Weak.Foot","Skill.Moves","Body.Type","Height","Weight","LS","ST","RS","LW","LF","CF","RF","RW","LAM","CAM","RAM","LM","LCM","CM","RCM","RM","LWB","LDM","CDM","RDM","RWB","LB","LCB","CB","RCB","RB","Crossing","Finishing","HeadingAccuracy","ShortPassing","Volleys","Dribbling","Curve","FKAccuracy","LongPassing","BallControl","Acceleration","SprintSpeed","Agility","Reactions","Balance","ShotPower","Jumping","Stamina","Strength","LongShots","Aggression","Interceptions","Positioning","Vision","Penalties","Composure","Marking","StandingTackle","SlidingTackle","GKDiving","GKHandling","GKKicking","GKPositioning","GKReflexes","Release.Clause","attack_Work.Rate","defend_Work.Rate","PositionGroup","cluster"
31,94,94,110500,565,2202,"0",5,4,4,"2",170.18,159,90,90,90,94,95,95,95,94,95,95,95,93,86,86,86,93,66,63,63,63,66,61,49,49,49,61,84,95,70,90,86,97,93,94,87,96,91,86,91,95,95,85,68,72,59,94,48,22,94,94,75,96,33,28,26,6,11,15,14,8,226500,"2","2","FWD",1
33,94,94,77000,405,2228,"1",5,4,5,"3",187.96,183,94,94,94,92,93,93,93,92,91,91,91,91,84,84,84,91,68,64,64,64,68,64,56,56,56,64,84,94,89,81,87,88,81,76,77,94,89,91,87,96,70,95,95,88,79,93,63,29,95,82,85,95,28,31,23,7,11,15,14,11,127100,"3","1","FWD",1
26,92,93,118500,290,2143,"1",5,5,5,"2",175.26,150,87,87,87,92,92,92,92,92,92,92,92,91,84,84,84,91,68,63,63,63,68,63,50,50,50,63,79,87,62,84,84,96,88,87,78,95,94,90,96,94,84,80,61,81,49,82,56,36,89,87,81,94,27,24,33,9,9,15,15,11,228100,"3","2","FWD",1
27,91,92,102000,355,2281,"1",4,5,4,"2",180.34,154,85,85,85,90,90,90,90,90,91,91,91,91,90,90,90,91,80,80,80,80,80,76,69,69,69,76,93,82,55,92,82,86,85,83,91,91,78,76,79,91,77,91,63,90,75,91,76,61,87,94,79,88,68,58,51,15,13,5,10,13,196400,"3","3","MID",1
27,91,91,93000,340,2142,"1",4,4,4,"2",172.72,163,86,86,86,92,91,91,91,92,92,92,92,92,85,85,85,92,69,66,66,66,69,63,52,52,52,63,81,84,61,89,80,95,83,79,83,94,94,88,95,90,94,82,56,83,66,80,54,41,87,89,86,91,34,27,22,11,12,6,8,8,172100,"3","2","FWD",1
32,91,91,67000,420,2280,"1",4,4,4,"1",172.72,146,80,80,80,88,87,87,87,88,90,90,90,89,91,91,91,89,85,84,84,84,85,82,74,74,74,82,86,72,55,93,76,90,85,78,88,93,80,72,93,90,94,79,68,89,58,82,62,83,79,92,82,84,60,76,73,13,9,7,14,9,137400,"3","3","MID",1
31,91,91,80000,455,2346,"1",5,4,3,"2",182.88,190,92,92,92,91,92,92,92,91,90,90,90,89,84,84,84,89,74,73,73,73,74,71,68,68,68,71,77,93,77,82,88,87,86,84,64,90,86,75,82,92,83,86,69,90,83,85,87,41,92,84,85,85,62,45,38,27,25,31,33,37,164000,"3","2","FWD",1
32,91,91,51000,380,2201,"1",4,3,3,"2",182.88,181,76,76,76,73,74,74,74,73,74,74,74,75,78,78,78,75,84,87,87,87,84,87,90,90,90,87,66,60,91,78,66,63,74,72,77,84,76,75,78,85,66,79,93,84,83,59,88,90,60,63,75,82,87,92,91,11,8,9,7,11,104600,"3","2","DEF",1
29,90,90,77000,205,2152,"1",4,4,4,"2",182.88,176,90,90,90,86,89,89,89,86,86,86,86,84,80,80,80,84,64,65,65,65,64,61,60,60,60,61,62,91,85,83,89,85,77,86,65,89,77,78,78,90,78,88,84,78,84,84,80,39,91,77,88,86,34,42,19,15,6,12,8,10,127100,"3","2","FWD",1
28,90,90,76500,355,2190,"1",4,5,3,"2",182.88,168,81,81,81,84,85,85,85,84,87,87,87,85,89,89,89,85,82,85,85,85,82,80,75,75,75,80,88,76,54,92,82,81,86,84,93,90,64,62,70,89,71,87,30,75,73,92,60,82,79,86,73,85,72,79,69,10,11,13,7,10,156800,"2","2","MID",1
32,90,90,44000,125,1946,"1",3,3,2,"1",187.96,172,67,67,67,64,65,65,65,64,65,65,65,66,71,71,71,66,79,84,84,84,79,82,90,90,90,82,55,42,92,79,47,53,49,51,70,76,68,68,58,85,54,67,91,66,88,43,89,88,48,52,50,82,90,89,89,6,8,15,5,15,90200,"2","3","DEF",1
32,90,90,60000,285,2115,"0",4,2,4,"2",172.72,148,80,80,80,88,87,87,87,88,90,90,90,88,88,88,88,88,72,73,73,73,72,67,60,60,60,67,84,76,54,93,82,89,82,77,87,94,70,64,92,90,90,72,64,78,52,75,57,50,89,92,75,93,59,53,29,6,15,7,6,12,111000,"3","2","MID",1
27,89,90,63000,225,2189,"1",3,3,2,"1",167.64,159,75,75,75,80,80,80,80,80,82,82,82,82,85,85,85,82,88,90,90,90,88,87,86,86,86,87,68,65,54,86,56,79,49,49,81,80,82,78,82,93,92,71,77,96,76,69,90,92,71,79,54,85,90,91,85,15,12,10,7,10,121300,"2","3","MID",1
24,89,94,89000,205,2092,"0",3,3,4,"2",177.8,165,86,86,86,90,89,89,89,90,90,90,90,89,82,82,82,89,65,61,61,61,65,59,48,48,48,59,82,84,68,87,88,92,88,88,75,92,87,83,91,86,85,82,75,80,65,88,48,32,84,87,86,84,23,20,20,5,4,4,5,8,153500,"3","2","FWD",1
24,89,91,83500,205,2165,"1",3,4,3,"2",187.96,196,89,89,89,85,87,87,87,85,85,85,85,84,82,82,82,84,68,69,69,69,68,65,63,63,63,65,75,94,85,80,84,80,78,68,82,84,68,72,71,91,71,88,78,89,84,85,76,35,93,80,90,89,56,36,38,8,10,11,14,11,160700,"3","3","FWD",1
